mlbam,Manager,Tm,bbrefID,HOF,Years,First,Last,W,L,W%,Best,Worst,Ejections
116576,Davey Johnson,BAL,johnsda02,FALSE,2,1996,1997,186,138,0.574,1,2,6
492618,Terry Bevington,CHW,bevinte99,FALSE,3,1995,1997,222,214,0.509,2,3,8
111221,Bob Boone,KCR,boonebo01,FALSE,3,1995,1997,181,206,0.468,2,5,3
120826,Mel Queen,TOR,queenme02,FALSE,1,1997,1997,4,1,0.8,5,5,0
492579,John McNamara,ANA,mcnamjo99,FALSE,3,1983,1996,161,191,0.457,2,5,6
117388,Marcel Lachemann,ANA,lachema01,FALSE,3,1994,1996,161,170,0.486,2,4,1
492655,Kevin Kennedy,BOS,kenneke99,FALSE,2,1995,1996,171,135,0.559,1,3,0
121406,Cookie Rojas,FLA,rojasco01,FALSE,1,1996,1996,1,0,1,3,3,0
117389,Rene Lachemann,FLA,lachere01,FALSE,4,1993,1996,221,285,0.437,3,6,4
492632,Terry Collins,HOU,collite99,FALSE,3,1994,1996,224,197,0.532,2,2,10
117524,Tommy Lasorda,LAD,lasorto01,TRUE,21,1976,1996,1599,1439,0.526,1,6,48
115088,Dallas Green,NYM,greenda02,FALSE,4,1993,1996,229,283,0.447,2,7,11
114414,Jim Fregosi,PHI,fregoji01,FALSE,6,1991,1996,431,463,0.482,1,6,24
492447,Jim Leyland,PIT,leylaji99,FALSE,11,1986,1996,851,863,0.496,1,6,33
121017,Phil Regan,BAL,reganph01,FALSE,1,1995,1995,71,73,0.493,3,3,2
117437,Gene Lamont,CHW,lamonge01,FALSE,4,1992,1995,258,210,0.551,1,3,7
116576,Davey Johnson,CIN,johnsda02,FALSE,3,1993,1995,204,172,0.543,1,5,6
110238,Sparky Anderson,DET,andersp01,TRUE,17,1979,1995,1331,1248,0.516,1,7,26
427469,Buck Showalter,NYY,showabu99,FALSE,4,1992,1995,313,268,0.539,1,4,9
117517,Tony La Russa,OAK,larusto01,TRUE,10,1986,1995,798,673,0.542,1,7,22
123406,Joe Torre,STL,torrejo01,TRUE,6,1990,1995,351,354,0.498,2,6,15
116766,Mike Jorgensen,STL,jorgemi01,FALSE,1,1995,1995,42,54,0.438,4,4,1
121343,Buck Rodgers,ANA,rodgebu01,FALSE,4,1991,1994,140,173,0.447,4,7,4
119881,Johnny Oates,BAL,oatesjo01,FALSE,4,1991,1994,291,270,0.519,2,6,7
115994,Butch Hobson,BOS,hobsobu01,FALSE,3,1992,1994,207,232,0.472,4,7,4
427512,Tom Trebelhorn,CHC,trebeto99,FALSE,1,1994,1994,49,64,0.434,5,5,2
118872,Hal McRae,KCR,mcraeha01,FALSE,4,1991,1994,286,277,0.508,3,6,13
427427,Jim Riggleman,SDP,rigglji99,FALSE,3,1992,1994,112,179,0.385,3,7,2
492655,Kevin Kennedy,TEX,kenneke99,FALSE,2,1993,1994,138,138,0.5,1,2,1
117624,Jim Lefebvre,CHC,lefebji01,FALSE,2,1992,1993,162,162,0.5,4,4,10
120404,Tony Perez,CIN,perezto01,TRUE,1,1993,1993,20,24,0.455,5,5,0
116218,Art Howe,HOU,howear01,FALSE,5,1989,1993,392,418,0.484,3,6,12
123401,Jeff Torborg,NYM,torboje01,FALSE,2,1992,1993,85,115,0.425,5,7,2
123973,John Wathan,ANA,wathajo01,FALSE,1,1992,1992,39,50,0.438,5,5,2
120586,Lou Piniella,CIN,pinielo01,FALSE,3,1990,1992,255,231,0.525,1,5,11
492522,Greg Riddoch,SDP,riddogr99,FALSE,3,1990,1992,200,194,0.508,3,5,6
120630,Bill Plummer,SEA,plummbi01,FALSE,1,1992,1992,64,98,0.395,7,7,1
112783,Roger Craig,SFG,craigro01,FALSE,8,1985,1992,586,566,0.509,1,6,10
123616,Bobby Valentine,TEX,valenbo02,FALSE,8,1985,1992,581,605,0.49,2,7,21
115497,Toby Harrah,TEX,harrato01,FALSE,1,1992,1992,32,44,0.421,4,4,0
121554,Tom Runnells,WSN,runneto01,FALSE,2,1991,1992,68,81,0.456,2,6,3
120874,Doug Rader,ANA,raderdo02,FALSE,3,1989,1991,232,216,0.518,3,7,7
121311,Frank Robinson,BAL,robinfr02,TRUE,4,1988,1991,230,285,0.447,2,7,7
119372,Joe Morgan,BOS,morgajo01,FALSE,4,1988,1991,301,262,0.535,1,3,11
124768,Don Zimmer,CHC,zimmedo01,FALSE,4,1988,1991,265,258,0.507,1,5,7
113909,Jim Essian,CHC,essiaji01,FALSE,1,1991,1991,59,63,0.484,4,4,1
110200,Joe Altobelli,CHC,altobjo01,FALSE,1,1991,1991,0,1,0,4,4,1
123401,Jeff Torborg,CHW,torboje01,FALSE,3,1989,1991,250,235,0.515,2,7,3
492579,John McNamara,CLE,mcnamjo99,FALSE,2,1990,1991,102,137,0.427,4,7,3
123973,John Wathan,KCR,wathajo01,FALSE,5,1987,1991,287,270,0.515,2,6,5
427512,Tom Trebelhorn,MIL,trebeto99,FALSE,6,1986,1991,422,397,0.515,3,6,11
115502,Bud Harrelson,NYM,harrebu01,FALSE,2,1990,1991,145,129,0.529,2,5,4
112909,Mike Cubbage,NYM,cubbami01,FALSE,1,1991,1991,3,4,0.429,5,5,0
492665,Stump Merrill,NYY,merrist99,FALSE,2,1990,1991,120,155,0.436,5,7,6
492503,Nick Leyva,PHI,leyvani99,FALSE,3,1989,1991,148,189,0.439,3,6,6
117624,Jim Lefebvre,SEA,lefebji01,FALSE,3,1989,1991,233,253,0.479,5,6,6
123183,Gene Tenace,TOR,tenacge01,FALSE,1,1991,1991,19,14,0.576,1,1,0
121343,Buck Rodgers,WSN,rodgebu01,FALSE,7,1985,1991,520,499,0.51,3,6,17
119814,Russ Nixon,ATL,nixonru01,FALSE,3,1988,1990,130,216,0.376,6,6,3
116576,Davey Johnson,NYM,johnsda02,FALSE,7,1984,1990,595,417,0.588,1,2,13
113275,Bucky Dent,NYY,dentbu01,FALSE,2,1989,1990,36,53,0.404,5,7,1
429341,Jack McKeon,SDP,mckeoja99,FALSE,3,1988,1990,193,164,0.541,2,5,3
121851,Red Schoendienst,STL,schoere01,TRUE,14,1965,1990,1041,955,0.522,1,7,12
115865,Whitey Herzog,STL,herzowh01,TRUE,11,1980,1990,822,728,0.53,1,6,23
121454,Pete Rose,CIN,rosepe01,FALSE,6,1984,1989,412,373,0.525,2,5,9
115731,Tommy Helms,CIN,helmsto01,FALSE,2,1988,1989,28,36,0.438,2,5,1
113755,Doc Edwards,CLE,edwardo01,FALSE,3,1987,1989,173,207,0.455,6,7,2
580128,John Hart,CLE,hartjo99,FALSE,1,1989,1989,8,11,0.421,6,6,0
115088,Dallas Green,NYY,greenda02,FALSE,1,1989,1989,56,65,0.463,5,5,2
124318,Jimy Williams,TOR,williji03,FALSE,4,1986,1989,281,241,0.538,1,4,12
121406,Cookie Rojas,ANA,rojasco01,FALSE,1,1988,1988,75,79,0.487,4,4,4
122900,Moose Stubing,ANA,stubimo01,FALSE,1,1988,1988,0,8,0,4,4,0
123089,Chuck Tanner,ATL,tannech01,FALSE,3,1986,1988,153,208,0.424,5,6,2
492683,Cal Ripken,BAL,ripkeca99,FALSE,3,1985,1988,68,101,0.402,4,7,8
492579,John McNamara,BOS,mcnamjo99,FALSE,4,1985,1988,297,273,0.521,1,5,13
114414,Jim Fregosi,CHW,fregoji01,FALSE,3,1986,1988,193,226,0.461,5,5,7
117481,Hal Lanier,HOU,lanieha01,FALSE,3,1986,1988,254,232,0.523,1,5,6
118330,Billy Martin,NYY,martibi02,FALSE,8,1975,1988,556,385,0.591,1,5,14
120586,Lou Piniella,NYY,pinielo01,FALSE,3,1986,1988,224,193,0.537,2,5,11
123764,John Vukovich,PHI,vukovjo01,FALSE,1,1988,1988,5,4,0.556,6,6,0
113794,Lee Elia,PHI,eliale01,FALSE,2,1987,1988,111,142,0.439,4,6,4
111281,Larry Bowa,SDP,bowala01,FALSE,2,1987,1988,81,127,0.389,3,6,6
124335,Dick Williams,SEA,willidi02,TRUE,3,1986,1988,159,192,0.453,4,7,6
122510,Jim Snyder,SEA,snydeji02,FALSE,1,1988,1988,45,60,0.429,7,7,3
118451,Gene Mauch,ANA,mauchge01,FALSE,5,1981,1987,379,332,0.533,1,7,6
492660,Frank Lucchesi,CHC,lucchfr99,FALSE,1,1987,1987,8,17,0.32,6,6,2
119025,Gene Michael,CHC,michage01,FALSE,2,1986,1987,114,124,0.479,5,6,7
112696,Pat Corrales,CLE,corrapa01,FALSE,5,1983,1987,280,355,0.441,5,7,22
114616,Billy Gardner,KCR,gardnbi02,FALSE,1,1987,1987,62,64,0.492,2,2,0
114057,John Felske,PHI,felskjo01,FALSE,3,1985,1987,190,194,0.495,2,5,1
0,Earl Weaver,BAL,weaveea99,TRUE,17,1968,1986,1480,1060,0.583,1,7,96
492566,Jim Frey,CHC,freyji99,FALSE,3,1984,1986,196,182,0.519,1,5,8
123764,John Vukovich,CHC,vukovjo01,FALSE,1,1986,1986,1,1,0.5,5,5,0
120874,Doug Rader,CHW,raderdo02,FALSE,1,1986,1986,1,1,0.5,5,5,0
116236,Dick Howser,KCR,howsedi01,FALSE,6,1981,1986,404,365,0.525,1,3,8
114083,Mike Ferraro,KCR,ferrami01,FALSE,1,1986,1986,36,38,0.486,3,3,1
110521,George Bamberger,MIL,bambege01,FALSE,5,1978,1986,377,351,0.518,2,6,18
433617,Ray Miller,MIN,millera99,FALSE,2,1985,1986,109,130,0.456,4,6,4
119302,Jackie Moore,OAK,mooreja01,FALSE,3,1984,1986,163,190,0.462,3,5,10
119746,Jeff Newman,OAK,newmaje01,FALSE,1,1986,1986,2,8,0.2,3,3,1
111243,Steve Boros,SDP,borosst01,FALSE,1,1986,1986,74,88,0.457,4,4,1
112723,Chuck Cottier,SEA,cottich01,FALSE,3,1984,1986,98,119,0.452,5,7,5
118374,Marty Martinez,SEA,martima01,FALSE,1,1986,1986,0,1,0,7,7,0
124445,Bobby Wine,ATL,winebo01,FALSE,1,1985,1985,16,25,0.39,5,5,0
115276,Eddie Haas,ATL,haased01,FALSE,1,1985,1985,50,71,0.413,5,5,1
110200,Joe Altobelli,BAL,altobjo01,FALSE,3,1983,1985,212,167,0.559,1,5,10
117768,Bob Lillis,HOU,lillibo01,FALSE,4,1982,1985,276,261,0.514,2,5,1
114616,Billy Gardner,MIN,gardnbi02,FALSE,5,1981,1985,268,353,0.432,3,7,12
110925,Yogi Berra,NYY,berrayo01,TRUE,3,1964,1985,192,148,0.565,1,3,7
123089,Chuck Tanner,PIT,tannech01,FALSE,9,1977,1985,711,685,0.509,1,6,16
124335,Dick Williams,SDP,willidi02,TRUE,4,1982,1985,337,311,0.52,1,4,11
113081,Jim Davenport,SFG,davenji01,FALSE,1,1985,1985,56,88,0.389,6,6,0
120874,Doug Rader,TEX,raderdo02,FALSE,3,1983,1985,155,200,0.437,3,7,7
112764,Bobby Cox,TOR,coxbo01,TRUE,4,1982,1985,355,292,0.549,1,6,21
123406,Joe Torre,ATL,torrejo01,TRUE,3,1982,1984,257,229,0.529,1,3,5
116177,Ralph Houk,BOS,houkra01,FALSE,4,1981,1984,312,282,0.525,2,6,10
492682,Vern Rapp,CIN,rappve99,FALSE,1,1984,1984,51,70,0.421,5,5,3
117389,Rene Lachemann,MIL,lachere01,FALSE,1,1984,1984,67,94,0.416,7,7,1
111243,Steve Boros,OAK,borosst01,FALSE,2,1983,1984,94,112,0.456,4,4,0
492675,Paul Owens,PHI,owenspa99,FALSE,3,1972,1984,161,158,0.505,1,6,2
112788,Del Crandall,SEA,crandde01,FALSE,2,1983,1984,93,131,0.415,5,7,3
492676,Danny Ozark,SFG,ozarkda99,FALSE,1,1984,1984,24,32,0.429,6,6,0
121311,Frank Robinson,SFG,robinfr02,TRUE,4,1981,1984,264,277,0.488,3,6,5
123734,Bill Virdon,WSN,virdobi01,FALSE,2,1983,1984,146,147,0.498,3,5,3
114000,Jim Fanning,WSN,fanniji01,FALSE,3,1981,1984,116,103,0.53,1,5,2
114355,Charlie Fox,CHC,foxch01,FALSE,1,1983,1983,17,22,0.436,5,5,0
113794,Lee Elia,CHC,eliale01,FALSE,2,1982,1983,127,158,0.446,5,5,5
119814,Russ Nixon,CIN,nixonru01,FALSE,2,1982,1983,101,131,0.435,6,6,1
114083,Mike Ferraro,CLE,ferrami01,FALSE,1,1983,1983,40,60,0.4,7,7,2
117354,Harvey Kuenn,MIL,kuennha01,FALSE,3,1975,1983,160,118,0.576,1,5,3
116205,Frank Howard,NYM,howarfr01,FALSE,1,1983,1983,52,64,0.448,6,6,1
110521,George Bamberger,NYM,bambege01,FALSE,2,1982,1983,81,127,0.389,6,6,3
112696,Pat Corrales,PHI,corrapa01,FALSE,2,1982,1983,132,115,0.534,1,2,9
117389,Rene Lachemann,SEA,lachere01,FALSE,3,1981,1983,140,180,0.438,4,7,1
492579,John McNamara,CIN,mcnamjo99,FALSE,4,1979,1982,279,244,0.533,1,6,6
492643,Dave Garcia,CLE,garcida99,FALSE,4,1979,1982,247,244,0.503,5,7,2
123734,Bill Virdon,HOU,virdobi01,FALSE,8,1975,1982,544,522,0.51,1,6,8
121343,Buck Rodgers,MIL,rodgebu01,FALSE,3,1980,1982,124,102,0.549,1,3,4
117671,Bob Lemon,NYY,lemonbo01,TRUE,4,1978,1982,99,73,0.576,1,6,0
117075,Clyde King,NYY,kingcl01,FALSE,1,1982,1982,29,33,0.468,5,5,0
119025,Gene Michael,NYY,michage01,FALSE,2,1981,1982,92,76,0.548,1,6,5
118330,Billy Martin,OAK,martibi02,FALSE,3,1980,1982,215,218,0.497,1,5,12
116575,Darrell Johnson,TEX,johnsda01,FALSE,1,1982,1982,26,40,0.394,6,6,2
124768,Don Zimmer,TEX,zimmedo01,FALSE,2,1981,1982,95,106,0.473,2,6,2
114414,Jim Fregosi,ANA,fregoji01,FALSE,4,1978,1981,237,248,0.489,1,6,11
110213,Joey Amalfitano,CHC,amalfjo01,FALSE,3,1979,1981,66,116,0.363,5,6,1
492566,Jim Frey,KCR,freyji99,FALSE,2,1980,1981,127,105,0.547,1,5,5
114985,Johnny Goryl,MIN,goryljo01,FALSE,2,1980,1981,34,38,0.472,3,7,1
123406,Joe Torre,NYM,torrejo01,TRUE,5,1977,1981,286,420,0.405,4,6,24
115088,Dallas Green,PHI,greenda02,FALSE,3,1979,1981,169,130,0.565,1,4,5
116205,Frank Howard,SDP,howarfr01,FALSE,1,1981,1981,41,69,0.373,6,6,1
124371,Maury Wills,SEA,willsma01,FALSE,2,1980,1981,26,56,0.317,6,7,3
118440,Bobby Mattick,TOR,mattibo01,FALSE,2,1980,1981,104,164,0.388,7,7,7
124335,Dick Williams,WSN,willidi02,TRUE,5,1977,1981,380,347,0.523,1,5,7
124768,Don Zimmer,BOS,zimmedo01,FALSE,5,1976,1980,411,304,0.575,2,4,7
120450,Johnny Pesky,BOS,peskyjo01,FALSE,3,1963,1980,147,179,0.451,4,8,3
114914,Preston Gomez,CHC,gomezpr01,FALSE,1,1980,1980,38,52,0.422,6,6,1
118451,Gene Mauch,MIN,mauchge01,FALSE,5,1976,1980,378,394,0.49,3,4,9
116236,Dick Howser,NYY,howsedi01,FALSE,2,1978,1980,103,60,0.632,1,1,0
112475,Jerry Coleman,SDP,colemje01,FALSE,1,1980,1980,73,89,0.451,6,6,3
116575,Darrell Johnson,SEA,johnsda01,FALSE,4,1977,1980,226,362,0.384,6,7,17
492622,Dave Bristol,SFG,bristda99,FALSE,2,1979,1980,85,98,0.464,4,5,6
492656,Jack Krol,STL,krolja99,FALSE,2,1978,1980,1,2,0.333,4,5,0
111321,Ken Boyer,STL,boyerke01,FALSE,3,1978,1980,166,190,0.466,3,5,4
112696,Pat Corrales,TEX,corrapa01,FALSE,3,1978,1980,160,164,0.494,2,4,7
114387,Herman Franks,CHC,frankhe01,FALSE,3,1977,1979,238,241,0.497,3,5,10
117024,Don Kessinger,CHW,kessido01,FALSE,1,1979,1979,46,60,0.434,5,5,0
123401,Jeff Torborg,CLE,torboje01,FALSE,3,1977,1979,157,201,0.439,5,6,3
123430,Dick Tracewski,DET,tracedi01,FALSE,1,1979,1979,2,0,1,5,5,0
119446,Les Moss,DET,mossle01,FALSE,1,1979,1979,27,26,0.509,5,5,0
115865,Whitey Herzog,KCR,herzowh01,TRUE,5,1975,1979,410,304,0.574,1,2,13
118323,Jim Marshall,OAK,marshji01,FALSE,1,1979,1979,54,108,0.333,7,7,2
492676,Danny Ozark,PHI,ozarkda99,FALSE,7,1973,1979,594,510,0.538,1,6,20
112783,Roger Craig,SDP,craigro01,FALSE,2,1978,1979,152,171,0.471,4,5,3
110200,Joe Altobelli,SFG,altobjo01,FALSE,3,1977,1979,225,239,0.485,3,4,7
115577,Roy Hartsfield,TOR,hartsro01,FALSE,3,1977,1979,166,318,0.343,7,7,9
492643,Dave Garcia,ANA,garcida99,FALSE,2,1977,1978,60,67,0.472,2,5,0
117671,Bob Lemon,CHW,lemonbo01,TRUE,2,1977,1978,124,112,0.525,3,5,1
113411,Larry Doby,CHW,dobyla01,TRUE,1,1978,1978,37,50,0.425,5,5,3
110238,Sparky Anderson,CIN,andersp01,TRUE,9,1970,1978,863,586,0.596,1,5,30
116177,Ralph Houk,DET,houkra01,FALSE,5,1974,1978,363,443,0.45,4,6,11
492702,Bobby Winkles,OAK,winklbo99,FALSE,2,1977,1978,61,86,0.415,6,7,3
429341,Jack McKeon,OAK,mckeoja99,FALSE,2,1977,1978,71,105,0.403,6,7,2
492682,Vern Rapp,STL,rappve99,FALSE,2,1977,1978,89,90,0.497,3,5,3
116331,Billy Hunter,TEX,huntebi03,FALSE,2,1977,1978,146,108,0.575,2,2,6
122144,Norm Sherry,ANA,sherrno01,FALSE,2,1976,1977,76,71,0.517,4,5,0
492622,Dave Bristol,ATL,bristda99,FALSE,2,1976,1977,130,192,0.404,6,6,7
0,Ted Turner,ATL,turnete99,FALSE,1,1977,1977,0,1,0,6,6,0
110877,Vern Benson,ATL,bensove01,FALSE,1,1977,1977,1,0,1,6,6,0
121311,Frank Robinson,CLE,robinfr02,TRUE,3,1975,1977,186,189,0.496,4,5,7
115037,Alex Grammas,MIL,grammal01,FALSE,2,1976,1977,133,190,0.412,6,6,3
114394,Joe Frazier,NYM,frazijo01,FALSE,2,1976,1977,101,106,0.488,3,6,3
113052,Al Dark,SDP,darkal01,FALSE,1,1977,1977,48,65,0.425,5,5,2
122299,Bob Skinner,SDP,skinnbo01,FALSE,1,1977,1977,1,0,1,5,5,0
492579,John McNamara,SDP,mcnamjo99,FALSE,4,1974,1977,224,310,0.419,4,6,5
121584,Connie Ryan,TEX,ryanco01,FALSE,1,1977,1977,2,4,0.333,2,2,0
122666,Eddie Stanky,TEX,stanked01,FALSE,1,1977,1977,1,0,1,2,2,0
492660,Frank Lucchesi,TEX,lucchfr99,FALSE,3,1975,1977,142,149,0.488,2,4,11
124335,Dick Williams,ANA,willidi02,TRUE,3,1974,1976,147,194,0.431,4,6,11
116575,Darrell Johnson,BOS,johnsda01,FALSE,3,1974,1976,220,188,0.539,1,3,12
118323,Jim Marshall,CHC,marshji01,FALSE,3,1974,1976,175,218,0.445,4,6,4
121150,Paul Richards,CHW,richapa01,FALSE,5,1951,1976,406,362,0.529,3,6,30
110193,Walter Alston,LAD,alstowa01,TRUE,23,1954,1976,2040,1613,0.558,1,8,37
123089,Chuck Tanner,OAK,tannech01,FALSE,1,1976,1976,87,74,0.54,2,2,4
119599,Danny Murtaugh,PIT,murtada01,FALSE,15,1957,1976,1115,950,0.54,1,8,20
121205,Bill Rigney,SFG,rignebi01,FALSE,6,1956,1976,406,430,0.486,3,6,22
114355,Charlie Fox,WSN,foxch01,FALSE,1,1976,1976,12,22,0.353,6,6,0
492657,Karl Kuehl,WSN,kuehlka99,FALSE,1,1976,1976,43,85,0.336,6,6,1
117075,Clyde King,ATL,kingcl01,FALSE,2,1974,1975,96,101,0.487,3,5,2
121584,Connie Ryan,ATL,ryanco01,FALSE,1,1975,1975,9,18,0.333,5,5,0
123089,Chuck Tanner,CHW,tannech01,FALSE,6,1970,1975,401,414,0.492,2,6,16
114914,Preston Gomez,HOU,gomezpr01,FALSE,2,1974,1975,128,161,0.443,4,6,3
429341,Jack McKeon,KCR,mckeoja99,FALSE,3,1973,1975,215,205,0.512,2,5,6
112788,Del Crandall,MIL,crandde01,FALSE,4,1972,1975,271,338,0.445,5,6,6
120833,Frank Quilici,MIN,quilifr01,FALSE,4,1972,1975,280,287,0.494,3,4,8
118828,Roy McMillan,NYM,mcmilro01,FALSE,1,1975,1975,26,27,0.491,3,3,0
110925,Yogi Berra,NYM,berrayo01,TRUE,4,1972,1975,292,296,0.497,1,5,6
123734,Bill Virdon,NYY,virdobi01,FALSE,2,1974,1975,142,124,0.534,2,3,3
113052,Al Dark,OAK,darkal01,FALSE,4,1966,1975,314,291,0.519,1,10,5
124121,Wes Westrum,SFG,westrwe01,FALSE,2,1974,1975,118,129,0.478,3,5,3
118330,Billy Martin,TEX,martibi02,FALSE,3,1973,1975,137,141,0.493,2,6,9
118451,Gene Mauch,WSN,mauchge01,FALSE,7,1969,1975,499,627,0.443,4,6,16
492702,Bobby Winkles,ANA,winklbo99,FALSE,2,1973,1974,109,127,0.462,4,6,2
115865,Whitey Herzog,ANA,herzowh01,TRUE,1,1974,1974,2,2,0.5,6,6,0
118416,Eddie Mathews,ATL,matheed01,TRUE,3,1972,1974,149,161,0.481,3,5,6
